Entreprise;Secteur;Ville;Code Postal;Departement;Effectif;Site Web;Email;Email;EmailSource;Confiance;Note;MX
GROUPE ECOLOGIE NATIONALE;CVC/Thermique;COURBEVOIE;92400;92;10-19 sal.;;contact@ecologienationale.fr;contact@ecologienationale.fr;devine;moyenne;site;ok
ATELIER ROCHE;CVC/Thermique;GENNEVILLIERS;92230;92;10-19 sal.;http://atelier-roche.fr/;contact@atelier-roche.fr;contact@atelier-roche.fr;devine;moyenne;;ok
RENOVAIR GENIE CLIMATIQUE;CVC/Thermique;CHATILLON;92320;92;10-19 sal.;https://www.renovair.com/;contact@renovair.com;contact@renovair.com;devine;moyenne;;ok
GROUPE TRANSITION ENERGIE;CVC/Thermique;CLICHY;92110;92;10-19 sal.;http://transition-energie-france.fr/;contact@transition-energie-france.fr;contact@transition-energie-france.fr;devine;moyenne;;ok
NELIOS;CVC/Thermique;BAGNEUX;92220;92;20-49 sal.;https://www.helios-fr.com/;contact@helios-fr.com;contact@helios-fr.com;devine;moyenne;;ok
KLIMA;CVC/Thermique;COLOMBES;92700;92;20-49 sal.;http://www.klima-idf.fr/;contact@klima-idf.fr;contact@klima-idf.fr;devine;moyenne;;ok
ALLIANCE PVC;Menuiserie bois;CHAMPIGNY-SUR-MARNE;94500;92;10-19 sal.;http://www.alliancepvc.com/;contact@alliancepvc.com;contact@alliancepvc.com;devine;moyenne;;ok
CTI CONSTRUCT;Menuiserie bois;BAGNEUX;92220;92;10-19 sal.;;contact@cti-groupe.fr;contact@cti-groupe.fr;scrape;moyenne;;ok
DARE;Menuiserie bois;NEUILLY-SUR-SEINE;92200;92;10-19 sal.;http://www.shareanddare.com/;contact@shareanddare.com;contact@shareanddare.com;devine;moyenne;;ok
KERMAREC;Menuiserie bois;PUTEAUX;92800;92;10-19 sal.;;contact@kermarec.fr;contact@kermarec.fr;devine;moyenne;site;ok
ARTMEN;Menuiserie bois;BOULOGNE-BILLANCOURT;92100;92;10-19 sal.;;contact@artmen.fr;contact@artmen.fr;devine;moyenne;site;ok
SEAS-PSP;Menuiserie bois;RUEIL MALMAISON;92500;92;20-49 sal.;https://seaspsp.com/?utm_source=gmb;contact@seaspsp.com;contact@seaspsp.com;devine;moyenne;;ok
RC EXPO;Menuiserie bois;VAUCRESSON;92420;92;20-49 sal.;https://univwood.fr/;contact@univwood.fr;contact@univwood.fr;devine;moyenne;;ok
PHENIX FENETRES FRANCE;Menuiserie bois;LA GARENNE-COLOMBES;92250;92;20-49 sal.;http://www.facebook.com/Ph%C3%A9nix-Fen%C3%AAtres-France-2022843054678696/;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
STORES ET FERMETURES;Menuiserie métallique;VILLENEUVE LA GARENNE;92390;92;10-19 sal.;https://www.artisanstores.fr/;contact@artisanstores.fr;contact@artisanstores.fr;devine;moyenne;;ok
ROUZES ILE DE FRANCE;Menuiserie métallique;ANTONY;92160;92;10-19 sal.;;contact@rouzes.com;contact@rouzes.com;devine;moyenne;site;ok
GPF;Menuiserie métallique;COURBEVOIE;92400;92;10-19 sal.;https://www.hydralians.fr/?y_source=1_NzM5NjQ3NTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D;contact@hydralians.fr;contact@hydralians.fr;devine;moyenne;;ok
WEISZ;Menuiserie métallique;CLAMART;92140;92;20-49 sal.;https://www.weisz.fr/;contact@weisz.fr;contact@weisz.fr;devine;moyenne;;ok
COLPER;Menuiserie métallique;COURBEVOIE;92400;92;20-49 sal.;https://www.serrurerie-prosignal.fr/?utm_source=GMB&utm_medium=seo_local&utm_campaign=GMB_Courbevoie;contact@serrurerie-prosignal.fr;contact@serrurerie-prosignal.fr;devine;moyenne;;ok
SEDEC;Peinture;ANTONY;92160;92;10-19 sal.;http://www.sedec.fr/?utm_source=gmb;contact@sedec.fr;contact@sedec.fr;devine;moyenne;;ok
MIROITERIE DEWERPE;Peinture;MALAKOFF;92240;92;10-19 sal.;https://www.ateliersdewerpe.com/;contact@ateliersdewerpe.com;contact@ateliersdewerpe.com;devine;moyenne;;ok
AMK 2;Peinture;LEVALLOIS-PERRET;92300;92;10-19 sal.;;contact@amk2.com;contact@amk2.com;devine;moyenne;site;ok
PEINT DECOR REVET RAVAL GIACALONE;Peinture;CHATENAY-MALABRY;92290;92;10-19 sal.;http://www.giacalone.fr/;contact@giacalone.fr;contact@giacalone.fr;devine;moyenne;;ok
SINA DECORE;Peinture;GENNEVILLIERS;92230;92;10-19 sal.;http://www.sinaconstructions.fr/?utm_source=gmb;contact@sinaconstructions.fr;contact@sinaconstructions.fr;devine;moyenne;;ok
DFD PEINTURES;Peinture;ANTONY;92160;92;10-19 sal.;https://www.mariette-sols.com/;contact@mariette-sols.com;contact@mariette-sols.com;devine;moyenne;;ok
SAPA;Peinture;BOULOGNE-BILLANCOURT;92100;92;20-49 sal.;;contact@sapa.fr;contact@sapa.fr;devine;moyenne;site;ok
DU SOL AU PLAFOND;Peinture;VILLENEUVE-LA-GARENNE;92390;92;20-49 sal.;http://www.dsp.fr/;contact@dsp.fr;contact@dsp.fr;devine;moyenne;;ok
SOCIETE GENERALE DE RENOVATION ET DE CONSEIL;Peinture;BAGNEUX;92220;92;20-49 sal.;http://sgrc.fr/contact/;contact@sgrc.fr;contact@sgrc.fr;devine;moyenne;;ok
A.H.G. TRANSPORT;Transport fret;VALENTON;94460;92;10-19 sal.;;ahg-transport@wanadoo.fr;ahg-transport@wanadoo.fr;scrape;moyenne;;ok
NOURILE;Transport fret;VILLENEUVE-LA-GARENNE;92390;92;10-19 sal.;https://www.chronopost.fr/fr/particulier/nous-contacter?utm_source=gmb;contact@chronopost.fr;contact@chronopost.fr;devine;moyenne;;ok
TRANS EURO TRAVEL;Transport fret;ORLY;94310;92;20-49 sal.;;contact@tet-transport.fr;contact@tet-transport.fr;devine;moyenne;site;ok
LES TRANSPORTS PARISIENS;Transport fret;VILLENEUVE-LA-GARENNE;92390;92;20-49 sal.;http://www.fean.fr/;contact@fean.fr;contact@fean.fr;devine;moyenne;;ok
CANAL TRANSPORT;Transport fret;CHATENAY-MALABRY;92290;92;20-49 sal.;https://www.iledefrance-mobilites.fr/actualites/locales/bievre;contact@iledefrance-mobilites.fr;contact@iledefrance-mobilites.fr;devine;moyenne;;ok
ECO-LOGISTIQUE;Transport fret;VILLENEUVE LA GARENNE;92390;92;20-49 sal.;https://ecologistique.fr/;contact@ecologistique.fr;contact@ecologistique.fr;devine;moyenne;;ok
TRANSPORTS MARDOKH FRERES;Transport proximité;VILLENEUVE-LA-GARENNE;92390;92;10-19 sal.;;contact@mardokh.fr;contact@mardokh.fr;devine;moyenne;site;ok
MF TRANSPORTS;Transport proximité;ASNIERES-SUR-SEINE;92600;92;20-49 sal.;http://www.mf-transports.fr/;contact@mf-transports.fr;contact@mf-transports.fr;devine;moyenne;;ok
A A TRANSPORT;Transport proximité;VILLENEUVE-LA-GARENNE;92390;92;20-49 sal.;https://aa-motors.fr/;contact@aa-motors.fr;contact@aa-motors.fr;devine;moyenne;;ok
PARIS TRACTION;Transport proximité;GENNEVILLIERS;92230;92;20-49 sal.;http://www.paris-traction.fr/;contact@paris-traction.fr;contact@paris-traction.fr;devine;moyenne;;ok
TRANSADEL;Transport proximité;VILLENEUVE-LA-GARENNE;92390;92;20-49 sal.;;exploitation@transadel.fr;exploitation@transadel.fr;scrape;moyenne;redressement;ok
CONCEPTELEC;Électricité;SAINT-MAUR-DES-FOSSES;94100;94;10-19 sal.;;contact@conceptelec.eu;contact@conceptelec.eu;scrape;moyenne;;ok
PRISME RESEAU;Électricité;IVRY-SUR-SEINE;94200;94;10-19 sal.;http://prismereseau.fr/;contact@prismereseau.fr;contact@prismereseau.fr;devine;moyenne;;ok
SOCIETE PERRIN B.;Électricité;VALENTON;94460;94;20-49 sal.;https://ortec-group.com/agences/perrin/?utm_source=gmb;contact@ortec-group.com;contact@ortec-group.com;devine;moyenne;;ok
ETABLISSEMENTS LOISEAU;Plomberie;CHARENTON-LE-PONT;94220;94;10-19 sal.;;contact@etablissement-loiseau.fr;contact@etablissement-loiseau.fr;scrape;moyenne;;ok
SOCIETE NOUVELLE SNPC;Plomberie;CHAMPIGNY-SUR-MARNE;94500;94;20-49 sal.;;s.n.p.c@orange.fr;s.n.p.c@orange.fr;scrape;moyenne;;ok
ENTREPRISE DETOISIEN SAS;Plomberie;CACHAN;94230;94;20-49 sal.;https://detoisien.com/;contact@detoisien.com;contact@detoisien.com;devine;moyenne;;ok
ESPACE EURO SERVICES;Plomberie;CRETEIL;94000;94;20-49 sal.;;ees@espace-e-s.fr;ees@espace-e-s.fr;scrape;moyenne;;ok
CALONNE;Plomberie;ALFORTVILLE;94140;94;20-49 sal.;https://www.calonne-plomberie.com/;contact@calonne-plomberie.com;contact@calonne-plomberie.com;devine;moyenne;;ok
FRANCE AFFAIRES EQUIPEMENTS;CVC/Thermique;VINCENNES;94300;94;10-19 sal.;https://france-affaires-equipements.com/;contact@france-affaires-equipements.com;contact@france-affaires-equipements.com;devine;moyenne;;ok
SUNICE ENERGIE;CVC/Thermique;SUCY-EN-BRIE;94370;94;10-19 sal.;https://www.sunice-energie.fr/;contact@sunice-energie.fr;contact@sunice-energie.fr;devine;moyenne;;ok
AIREOL;CVC/Thermique;SAINT-MAUR-DES-FOSSES;94100;94;10-19 sal.;;contact@aireol.fr;contact@aireol.fr;scrape;moyenne;;ok
C P E CLIMATISATION;CVC/Thermique;SAINT-MAUR-DES-FOSSES;94100;94;10-19 sal.;https://www.cpe-climatisation.fr/;contact@cpe-climatisation.fr;contact@cpe-climatisation.fr;devine;moyenne;;ok
GENERALE GEOTHERMIE SOLUTIONS;CVC/Thermique;CRETEIL;94000;94;10-19 sal.;http://www.sodigaine.fr/;contact@sodigaine.fr;contact@sodigaine.fr;devine;moyenne;;ok
CARDONNEL CHAUFFAGES SERVICES;CVC/Thermique;SANTENY;94440;94;10-19 sal.;http://www.cardonnel-chauffage.com/;contact@cardonnel-chauffage.com;contact@cardonnel-chauffage.com;devine;moyenne;;ok
M&N ENERGY;CVC/Thermique;ALFORTVILLE;94140;94;20-49 sal.;https://www.energiedefrance-groupe.com/;contact@energiedefrance-groupe.com;contact@energiedefrance-groupe.com;devine;moyenne;;ok
ACMA;Menuiserie bois;CHOISY-LE-ROI;94600;94;10-19 sal.;http://acma-technal.fr/;contact@acma-technal.fr;contact@acma-technal.fr;devine;moyenne;;ok
GUINIER CONSTRUCTION;Menuiserie bois;ALFORTVILLE;94140;94;20-49 sal.;http://spinnaker-guinier.com/category/contact/;contact@spinnaker-guinier.com;contact@spinnaker-guinier.com;devine;moyenne;;ok
AOBC AMENAGEMENT ORGANISATION DE BUREAUX CLOISON;Menuiserie métallique;LE PLESSIS-TREVISE;94420;94;10-19 sal.;;contact@aobcloisons.com;contact@aobcloisons.com;devine;moyenne;site;ok
P.S.C.I.;Menuiserie métallique;FONTENAY-SOUS-BOIS;94120;94;10-19 sal.;https://www.pcsi.fr/;contact@pcsi.fr;contact@pcsi.fr;devine;moyenne;;ok
I D F PEINTURES;Peinture;ALFORTVILLE;94140;94;10-19 sal.;https://www.bsa-idf.fr/;contact@bsa-idf.fr;contact@bsa-idf.fr;devine;moyenne;;ok
URBAN ENVIRONNEMENT;Peinture;THIAIS;94320;94;20-49 sal.;https://urban-environnement.fr/;contact@urban-environnement.fr;contact@urban-environnement.fr;devine;moyenne;;ok
DA SILVA;Peinture;ORMESSON-SUR-MARNE;94490;94;20-49 sal.;https://www.dasilva-maconnerie-94.com/;contact@dasilva-maconnerie-94.com;contact@dasilva-maconnerie-94.com;devine;moyenne;;ok
MIMMO;Peinture;IVRY-SUR-SEINE;94200;94;20-49 sal.;;contact@mimmoravaldeco.fr;contact@mimmoravaldeco.fr;scrape;moyenne;;ok
COMBET;Peinture;SAINT-MAUR-DES-FOSSES;94100;94;20-49 sal.;https://www.combet.fr/;contact@combet.fr;contact@combet.fr;devine;moyenne;;ok
M.B. PEINTURE;Peinture;VILLEJUIF;94800;94;20-49 sal.;;contact@mbpeinture.fr;contact@mbpeinture.fr;devine;moyenne;site;ok
SARL S F E T;Transport fret;ABLON-SUR-SEINE;94480;94;10-19 sal.;;contact@sfet.fr;contact@sfet.fr;devine;moyenne;site;ok
TRANS CHABOUR;Transport fret;ORLY;94310;94;10-19 sal.;https://www.stg-logistique.fr/;contact@stg-logistique.fr;contact@stg-logistique.fr;devine;moyenne;;ok
ARES TRANSPORT;Transport fret;CRETEIL;94000;94;10-19 sal.;http://www.ares-services.com/;contact@ares-services.com;contact@ares-services.com;devine;moyenne;;ok
SWLT;Transport fret;RUNGIS;94150;94;10-19 sal.;;stefswlt@gmail.com;stefswlt@gmail.com;scrape;moyenne;;ok
LTB LOCAT TRANSPORTS BENNES;Transport proximité;SAINT-MAUR-DES-FOSSES;94210;94;10-19 sal.;https://www.ltb-bennes.com/;contact@ltb-bennes.com;contact@ltb-bennes.com;devine;moyenne;;ok
LES TRANSPORTS 2T;Transport proximité;LE PERREUX-SUR-MARNE;94170;94;10-19 sal.;https://2tservices.fr/;contact@2tservices.fr;contact@2tservices.fr;devine;moyenne;;ok
COURSES AND CO;Transport proximité;PERIGNY;94520;94;10-19 sal.;https://www.ofcoursetransport.fr/;contact@ofcoursetransport.fr;contact@ofcoursetransport.fr;devine;moyenne;;ok
INTECSYS;Électricité;MONTESSON;78360;78;10-19 sal.;;contact@intecsys.fr;contact@intecsys.fr;scrape;moyenne;;ok
VALLOTECH;Électricité;BUC;78530;78;10-19 sal.;https://www.vallotech.com/;contact@vallotech.com;contact@vallotech.com;devine;moyenne;;ok
CEOS FACILITY;Électricité;LES MUREAUX;78130;78;10-19 sal.;https://www.ceos-facility.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14334852833792248810;contact@ceos-facility.fr;contact@ceos-facility.fr;devine;moyenne;;ok
ELPHITEC;Électricité;RUNGIS;94150;78;10-19 sal.;;david.duval@vinci-energies.com;david.duval@vinci-energies.com;scrape;moyenne;groupe Vinci;ok
FIBER PRO CONSULTING;Électricité;CROISSY-SUR-SEINE;78290;78;10-19 sal.;http://fiberpro.fr/;contact@fiberpro.fr;contact@fiberpro.fr;devine;moyenne;;ok
PRAD ELEC;Électricité;TRAPPES;78190;78;10-19 sal.;;contact@pradelec.com;contact@pradelec.com;scrape;moyenne;;ok
VINCI ENERGIES INTERNATIONAL & SYSTEMS;Électricité;MONTESSON;78360;78;20-49 sal.;http://vinci-energies.fr/;contact@vinci-energies.fr;contact@vinci-energies.fr;devine;moyenne;;ok
EPELEC;Électricité;VITRY-SUR-SEINE;94400;78;20-49 sal.;http://www.idee-light.com/;contact@idee-light.com;contact@idee-light.com;devine;moyenne;;ok
O-S SECURITE;Électricité;CHATOU;78400;78;20-49 sal.;http://os-securite.com/;contact@os-securite.com;contact@os-securite.com;devine;moyenne;;ok
DOMATEC;Électricité;CHATOU;78400;78;20-49 sal.;http://www.groupehorus.fr/;contact@groupehorus.fr;contact@groupehorus.fr;devine;moyenne;;ok
REALISATIONS MAINTENANCE ELECTRIQUES;Électricité;FONTENAY-SOUS-BOIS;94120;78;20-49 sal.;;contact@rme.fr;contact@rme.fr;devine;moyenne;site rme.fr;ok
ACP THERMIQUE;Plomberie;SARTROUVILLE;78500;78;10-19 sal.;http://www.acp-thermique.fr/;contact@acp-thermique.fr;contact@acp-thermique.fr;devine;moyenne;;ok
BEST CELCIUS;Plomberie;CHAVENAY;78450;78;10-19 sal.;https://www.celsius.care/;contact@celsius.care;contact@celsius.care;devine;moyenne;;ok
BOLERO;Plomberie;ECQUEVILLY;78920;78;10-19 sal.;https://www.ciali.fr/bolero;contact@ciali.fr;contact@ciali.fr;devine;moyenne;;ok
BALATONI;Plomberie;ECQUEVILLY;78920;78;10-19 sal.;http://www.ciali.fr/balatoni;contact@ciali.fr;contact@ciali.fr;devine;moyenne;;ok
PLOMBERIE CHAUFFAGE CLIMATISATION;Plomberie;COIGNIERES;78310;78;10-19 sal.;https://www.climplus.com/infos-agence/coignieres-clim-5888;contact@climplus.com;contact@climplus.com;devine;moyenne;;ok
AS PLOMBERIE;Plomberie;TRAPPES;78190;78;10-19 sal.;http://www.solutionplomberie78.fr/;contact@solutionplomberie78.fr;contact@solutionplomberie78.fr;devine;moyenne;;ok
MARLY SERVICE;Plomberie;MAREIL-MARLY;78750;78;10-19 sal.;https://www.marlyservice.fr/;contact@marlyservice.fr;contact@marlyservice.fr;devine;moyenne;;ok
AMITS;Plomberie;MANTES-LA-VILLE;78711;78;10-19 sal.;https://www.facebook.com/amitisosteocupping/;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
SAS HENON;Plomberie;ACHERES;78260;78;20-49 sal.;https://www.henon.pro/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1697391324333575627;contact@henon.pro;contact@henon.pro;devine;moyenne;;ok
LUMIFEU;CVC/Thermique;CONFLANS-SAINTE-HONORINE;78700;78;10-19 sal.;http://www.lumifeu.com/contact;contact@lumifeu.com;contact@lumifeu.com;devine;moyenne;;ok
JADO;CVC/Thermique;HOUILLES;78800;78;10-19 sal.;;contact@eurljado.com;contact@eurljado.com;devine;moyenne;site eurljado.com;ok
GREEN POWER BATIMENT;CVC/Thermique;SARTROUVILLE;78500;78;10-19 sal.;;c.bonnal@greenpower-batiment.fr;c.bonnal@greenpower-batiment.fr;scrape;moyenne;;ok
ECP FACILITIES;CVC/Thermique;ALFORTVILLE;94140;78;10-19 sal.;https://www.ecp-sas.com/;contact@ecp-sas.com;contact@ecp-sas.com;devine;moyenne;;ok
SCES THERMIQUES APPLIQUES TRAITEMENT EAU;CVC/Thermique;FEUCHEROLLES;78810;78;10-19 sal.;;comptabilite@state-gc.fr;comptabilite@state-gc.fr;scrape;moyenne;;ok
HELIOENERGIE;CVC/Thermique;BUCHELAY;78200;78;10-19 sal.;https://www.helioenergie.com/;contact@helioenergie.com;contact@helioenergie.com;devine;moyenne;;ok
SN C.P.A.P.;CVC/Thermique;MANTES-LA-VILLE;78711;78;10-19 sal.;;contact@cpap.fr;contact@cpap.fr;scrape;moyenne;;ok
DYNACLEAR;CVC/Thermique;COIGNIERES;78310;78;10-19 sal.;https://www.dynaclear.fr/;contact@dynaclear.fr;contact@dynaclear.fr;devine;moyenne;;ok
R&O - AIR ET EAU;CVC/Thermique;SAINT-REMY-LES-CHEVREUSE;78470;78;10-19 sal.;;contact@air-et-eau.com;contact@air-et-eau.com;scrape;moyenne;;ok
CEIS;CVC/Thermique;BOIS-D'ARCY;78390;78;20-49 sal.;http://www.ceis.eu/;contact@ceis.eu;contact@ceis.eu;devine;moyenne;;ok
HUBERT;CVC/Thermique;BOUGIVAL;78380;78;20-49 sal.;;contact@hubert-chauffage.fr;contact@hubert-chauffage.fr;scrape;moyenne;;ok
CLIM LAMBERT;CVC/Thermique;ORGEVAL;78630;78;20-49 sal.;;contact@climlambert.com;contact@climlambert.com;scrape;moyenne;;ok
SIATHERM SA;CVC/Thermique;MONTESSON;78360;78;20-49 sal.;http://siatherm.fr/;contact@siatherm.fr;contact@siatherm.fr;devine;moyenne;;ok
SOCIETE TOURNOIS SAS;CVC/Thermique;BUC;78530;78;20-49 sal.;;tournois.s.a@wanadoo.fr;tournois.s.a@wanadoo.fr;scrape;moyenne;;ok
SOMATH SOCIETE DE MAINTENANCE ET D'APPLICATIONS THERMIQUES;CVC/Thermique;COIGNIERES;78310;78;20-49 sal.;http://www.somath.fr/;contact@somath.fr;contact@somath.fr;devine;moyenne;;ok
ALBASINI;CVC/Thermique;VELIZY-VILLACOUBLAY;78140;78;20-49 sal.;;depannage@albasini.fr;depannage@albasini.fr;scrape;moyenne;;ok
TECHNI +;CVC/Thermique;ACHERES;78260;78;20-49 sal.;https://www.techniservicesbatiment.fr/;contact@techniservicesbatiment.fr;contact@techniservicesbatiment.fr;devine;moyenne;;ok
A B E MENUISERIE;Menuiserie bois;BUC;78530;78;10-19 sal.;;abemenuiserie@gmail.com;abemenuiserie@gmail.com;scrape;moyenne;;ok
RMCASAIS-REVETEMENTS ET MENUISERIES;Menuiserie bois;FLINS-SUR-SEINE;78410;78;10-19 sal.;https://www.rmcasais.fr/;contact@rmcasais.fr;contact@rmcasais.fr;devine;moyenne;;ok
SERAMEN;Menuiserie bois;CARRIERES-SUR-SEINE;78420;78;10-19 sal.;;ebenezra@seramen.fr;ebenezra@seramen.fr;scrape;moyenne;;ok
SEM BAT;Menuiserie bois;LES MUREAUX;78130;78;10-19 sal.;http://www.sembat.fr/;contact@sembat.fr;contact@sembat.fr;devine;moyenne;;ok
ATELIERS MUQUET;Menuiserie bois;CARRIERES-SUR-SEINE;78420;78;20-49 sal.;http://www.ateliersmuquet.com/;contact@ateliersmuquet.com;contact@ateliersmuquet.com;devine;moyenne;;ok
MISE EN OEUVRE;Menuiserie bois;SARTROUVILLE;78500;78;20-49 sal.;https://www.m2renovandco.com/;contact@m2renovandco.com;contact@m2renovandco.com;devine;moyenne;;ok
PULSARE;Menuiserie métallique;VERSAILLES;78000;78;10-19 sal.;http://www.studiopulsar.fr/;contact@studiopulsar.fr;contact@studiopulsar.fr;devine;moyenne;;ok
PROTHERM ISOLATION;Menuiserie métallique;ISSOU;78440;78;10-19 sal.;;compta@protherm-isolation.fr;compta@protherm-isolation.fr;scrape;moyenne;;ok
BBG FRANCE;Menuiserie métallique;ELANCOURT;78990;78;10-19 sal.;http://hyline-aluminumsystems.com/;contact@hyline-aluminumsystems.com;contact@hyline-aluminumsystems.com;devine;moyenne;;ok
SERRURERIE RATIONNELLE DU BATIMENT;Menuiserie métallique;ABLIS;78660;78;20-49 sal.;;seraba@seraba.fr;seraba@seraba.fr;scrape;moyenne;;ok
MARCEL HAMON;Peinture;CONFLANS-SAINTE-HONORINE;78700;78;10-19 sal.;https://www.marcelhamon.fr/;contact@marcelhamon.fr;contact@marcelhamon.fr;devine;moyenne;;ok
SARL BOUVIER PEINTURE;Peinture;LIMAY;78520;78;10-19 sal.;;bouvier-peinture@orange.fr;bouvier-peinture@orange.fr;scrape;moyenne;;ok
LELAIDIER AND CO;Peinture;GARGENVILLE;78440;78;10-19 sal.;;contact@lelaidier.fr;contact@lelaidier.fr;scrape;moyenne;;ok
LACOUR ENTREPRISE;Peinture;VERSAILLES;78000;78;20-49 sal.;http://www.lacour.art/;contact@lacour.art;contact@lacour.art;devine;moyenne;;ok
TRANS'HORSES;Transport fret;DAMMARTIN-EN-SERVE;78111;78;10-19 sal.;http://www.transhorses.com/;contact@transhorses.com;contact@transhorses.com;devine;moyenne;;ok
NELL GREEN;Transport fret;CHAMPIGNY-SUR-MARNE;94500;78;10-19 sal.;http://www.2a5club.com/;contact@2a5club.com;contact@2a5club.com;devine;moyenne;;ok
MJ TRANS;Transport fret;THIAIS;94320;78;10-19 sal.;https://www.facebook.com/profile.php?id=100083286017421;contact@facebook.com;contact@facebook.com;devine;moyenne;;ok
H&N TRANSPORTS;Transport fret;JOUARS-PONTCHARTRAIN;78760;78;10-19 sal.;https://www.instagram.com/hn_transports;contact@instagram.com;contact@instagram.com;devine;moyenne;;ok
AB TRANS 78;Transport fret;COIGNIERES;78310;78;20-49 sal.;http://abfasttransport.fr/;contact@abfasttransport.fr;contact@abfasttransport.fr;devine;moyenne;;ok
3M'TRANS;Transport fret;MAUREPAS;78310;78;20-49 sal.;;3mtrans78@gmail.com;3mtrans78@gmail.com;scrape;moyenne;;ok
DK TRANSPORT;Transport proximité;NEUILLY-SUR-SEINE;92200;78;10-19 sal.;https://www.dk-transport.fr/;contact@dk-transport.fr;contact@dk-transport.fr;devine;moyenne;;ok
SARL TRANSPORTS MARCHAND;Transport proximité;ABLIS;78660;78;10-19 sal.;https://www.trsmarchand.com/;contact@trsmarchand.com;contact@trsmarchand.com;devine;moyenne;;ok
ELITE FIBRE TELECOM;Électricité;FONTENAY-AUX-ROSES;92260;92;10-19 sal.;https://www.elite-telecoms.com/;contact@elite-telecoms.com;contact@elite-telecoms.com;devine;moyenne;;ok
ETIREM;Électricité;PERIGNY SUR YERRES;94520;92;10-19 sal.;http://etirem.fr/;contact@etirem.fr;contact@etirem.fr;devine;moyenne;;ok
SASU ARTEV PLOMBERIE;Électricité;ASNIERES-SUR-SEINE;92600;92;10-19 sal.;https://artisanplombier-92.fr/;contact@artisanplombier-92.fr;contact@artisanplombier-92.fr;devine;moyenne;;ok
SIS CONCEPT;Électricité;CLAMART;92140;92;10-19 sal.;https://s-concept-hair.com/;contact@s-concept-hair.com;contact@s-concept-hair.com;devine;moyenne;;ok
SARL BT  QUALIT;Plomberie;ISSY-LES-MOULINEAUX;92130;92;10-19 sal.;https://btqualit-travaux.com/;contact@btqualit-travaux.com;contact@btqualit-travaux.com;devine;moyenne;;ok
DAO-THOLOZAN ENTREPRENEURS;Plomberie;COURBEVOIE;92400;92;10-19 sal.;;contact@dao-tholozan.fr;contact@dao-tholozan.fr;scrape;moyenne;;ok
STE EXPL DES ETS L WACQUANT;Plomberie;MEUDON;92190;92;10-19 sal.;;wacquant@wacquant.fr;wacquant@wacquant.fr;scrape;moyenne;;ok
DECOFOR;Plomberie;NANTERRE;92000;92;20-49 sal.;;decofor@decofor-plomberie.fr;decofor@decofor-plomberie.fr;scrape;moyenne;;ok
ETABLISSEMENTS SALLANDRE;Plomberie;BAGNEUX;92220;92;20-49 sal.;;sallandre@sallandre.fr;sallandre@sallandre.fr;scrape;moyenne;;ok
DSC ASPIRATION;CVC/Thermique;NANTERRE;92000;92;10-19 sal.;http://www.cyclovac.fr/;contact@cyclovac.fr;contact@cyclovac.fr;devine;moyenne;;ok
GROUPE ECOLOGIE NATIONALE;CVC/Thermique;COURBEVOIE;92400;92;10-19 sal.;;contact@ecologienationale.fr;contact@ecologienationale.fr;devine;moyenne;site;ok
ATELIER ROCHE;CVC/Thermique;GENNEVILLIERS;92230;92;10-19 sal.;http://atelier-roche.fr/;contact@atelier-roche.fr;contact@atelier-roche.fr;devine;moyenne;;ok
RENOVAIR GENIE CLIMATIQUE;CVC/Thermique;CHATILLON;92320;92;10-19 sal.;https://www.renovair.com/;contact@renovair.com;contact@renovair.com;devine;moyenne;;ok
GROUPE TRANSITION ENERGIE;CVC/Thermique;CLICHY;92110;92;10-19 sal.;http://transition-energie-france.fr/;contact@transition-energie-france.fr;contact@transition-energie-france.fr;devine;moyenne;;ok
KLIMA;CVC/Thermique;COLOMBES;92700;92;20-49 sal.;http://www.klima-idf.fr/;contact@klima-idf.fr;contact@klima-idf.fr;devine;moyenne;;ok
ALLIANCE PVC;Menuiserie bois;CHAMPIGNY-SUR-MARNE;94500;92;10-19 sal.;http://www.alliancepvc.com/;contact@alliancepvc.com;contact@alliancepvc.com;devine;moyenne;;ok
CTI CONSTRUCT;Menuiserie bois;BAGNEUX;92220;92;10-19 sal.;;contact@cti-groupe.fr;contact@cti-groupe.fr;scrape;moyenne;;ok
DARE;Menuiserie bois;NEUILLY-SUR-SEINE;92200;92;10-19 sal.;http://www.shareanddare.com/;contact@shareanddare.com;contact@shareanddare.com;devine;moyenne;;ok
KERMAREC;Menuiserie bois;PUTEAUX;92800;92;10-19 sal.;;contact@kermarec.fr;contact@kermarec.fr;devine;moyenne;site;ok
ARTMEN;Menuiserie bois;BOULOGNE-BILLANCOURT;92100;92;10-19 sal.;;contact@artmen.fr;contact@artmen.fr;devine;moyenne;site;ok
SEAS-PSP;Menuiserie bois;RUEIL MALMAISON;92500;92;20-49 sal.;https://seaspsp.com/?utm_source=gmb;contact@seaspsp.com;contact@seaspsp.com;devine;moyenne;;ok
RC EXPO;Menuiserie bois;VAUCRESSON;92420;92;20-49 sal.;https://univwood.fr/;contact@univwood.fr;contact@univwood.fr;devine;moyenne;;ok
